Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio"
Waaree Energies Ltd,WAAREEENER,"Renewable Energy Equipment & Services","89712.6983598","3118.8","24.17285004171046","2.778052397429566","-10.965200262639526","27.174348814044496","9.349669666731977"
Lodha Developers Ltd,LODHA,"Real Estate","89700.11248806","897.9","26.165367390484786","30.02679023966404","-1.6215623972827948","14.621980312190889","4.4267932926052405"
Lenskart Solutions Ltd,LENSKART,"Retail - Speciality","89214.75004371999","515.95","301.80903262422027","3.407155025553674","-0.7693047408404654","4.9422677585578745","14.375170200577815"
Meesho Ltd,MEESHO,"Retail - Online","88328.673266288","193.13","-22.408719379733157","35.377821393523064","11.842714848274257","-214.50549091740226","61.10512014104818"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","87916.60505088001","1763.2","31.71663349527042","3.111111111111114","-0.417937422342701","18.795609020099874","6.069421694800961"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","87477.6550648","1736","29.27142548596284","30.900316694314576","2.0156314273961304","19.39748056682055","4.802300810879356"
Shree Cement Ltd,SHREECEM,"Cement","87297.369786","24195","77.75178334476315","4.740259740259741","-1.4660965180207697","5.305775454036823","4.0455679901123895"
Oracle Financial Services Software Ltd,OFSS,"Software Services","84681.2919925","9726.5","32.08475428806881","42.90016895614486","0.39739884393063585","29.33938302961556","10.126434037178322"
NHPC Ltd,NHPC,"Renewable Energy","83574.6895776","83.2","27.7964291317637","10.432705070347756","-1.0583898204304918","6.75492088326409","1.8505098985232618"
IDBI Bank Ltd,IDBI,"Private Banks","81589.2277039","75.88","8.88306102182843","22.268772155978073","-1.1335504885993544","13.504319941102972","1.3205371233852037"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","80702.38551585","1389.5","23.15122308164653","6.434316353887399","-0.5226231386025169","11.154815999999999","2.471802847109577"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","79833.91038228001","490.8","12.186652945807678","2.303282959874937","-0.41594805721822287","12.20691150379075","1.4593317414658045"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","79697.592374235","374.55","11.832117281683491","14.070351758793967","-1.5895953757225463","13.737125460048919","1.5582891535738395"
NMDC Ltd,NMDC,"Mining - Iron Ore","79451.65519935","90.37","12.165256506148348","18.115279048490393","-1.4826120135179324","23.586202189270537","2.6744933446846852"
Dabur India Ltd,DABUR,"FMCG - Personal Products","78308.4210938","441.5","44.30136459202434","6.926616614192304","-3.1798245614035086","16.432873742524407","6.9854241644529225"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","77817.48381851999","1240.6","46.030595671564534","2.7071777465021785","-0.9500998003992088","18.65068632412641","9.32954846001364"
PB Fintech Ltd,POLICYBZR,"Online Services","76985.13845724","1666.2","218.08203296575135","15.276048152760477","-1.0746304102594495","5.733339071923765","11.958262029264565"
Steel Authority of India Ltd,SAIL,"Iron & Steel","76257.757885518","184.62","32.15157890797711","27.166276346604214","-0.8272453803180018","4.089104063958978","1.2945756920482605"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","76229.858380522","55.58","36.79704309192376","39.368104312938804","-2.1651117760957646","41.32503094445156","12.484990857838548"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","76029.511168455","1015.95","28.785427796859434","16.87661777394306","-0.1670515403134606","14.169028810643404","4.429000743227276"
Bharti Hexacom Ltd,BHARTIHEXA,"Telecom Services","75870","1517.4","50.79673272629893","1.7228665281222797","-0.6351908846833749","28.258977560827915","12.789737192562498"
FSN E-Commerce Ventures Ltd,NYKAA,"Wellness Services","75810.91125745601","264.76","1147.2595529276114","12.353065987693608","-1.1536307634870382","5.037161260814844","56.46322319683018"
Multi Commodity Exchange of India Ltd,MCX,"Stock Exchanges & Ratings","75628.8618435","2971.5","135.04189315673878","26.409154719870685","0.10780581477612836","34.32806087891948","40.13418692607727"
Persistent Systems Ltd,PERSISTENT,"Software Services","74990.90112","4800","40.207011409453564","-1.5243214410274333","-0.12068750260102755","24.832620659443542","11.86739522113222"
SRF Ltd,SRF,"Diversified Chemicals","74652.8214565","2518.6","59.68501371664091","2.6408020213546224","-0.982858940084919","10.377669235128307","5.912532785517416"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","74512.312652255","513.85","46.34167303251794","-1.1826923076923033","-2.0024792600362353","10.336562564575132","6.2438148392424555"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","73336.70725491","399.3","12.650781567551203","4.542479382118084","-7.846757442880222","32.72670005432768","4.1187809599150595"
Bajaj Housing Finance Ltd,BAJAJHFL,"Consumer Finance","72609.275368308","87.18","28.35923173028113","17.39833019122004","-0.9430746506078834","13.442385558866773","3.640146558260369"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","71370.01355766","916.05","80.26407579669144","17.986862442040184","0.25170998632010444","4.022937562112823","1.1007829879729805"
Federal Bank Ltd,FEDERALBNK,"Private Banks","70719.82562688","286.95","16.303380476211128","8.631459398069284","0.7726075504828758","12.53060082007938","1.9947425099484934"
Swiggy Ltd,SWIGGY,"Online Services","70441.65805446","270.3","-22.600634642729727","3.0695900857960003","-1.709090909090905","-34.61005665997628","6.892874111571125"
One 97 Communications Ltd,PAYTM,"Online Services","70143.21829608","1095.8","-106.48735129206","10.57517658930373","-0.7607317514943027","-4.655864006644172","4.677118796039235"
L&T Finance Ltd,LTF,"Consumer Finance","70063.945574568","279.73","23.50208493769851","14.15221383391145","-1.9935533599607587","10.755524255829686","2.7335499024064505"
Adani Total Gas Ltd,ATGL,"Gas Distribution","69804.94596801","634.7","106.45541689747148","21.42720489764683","-3.38686353603775","16.806957933166128","16.5923737459764"
